ALLOCATED MEMORY UNITS         FREE MEMORY UNITS              JOBS IN JOB QUEUE              JOBS IN BLOCKED QUEUE          JOBS IN READY QUEUE            JOBS DELIVERED                 
255                            257                            0                              0                              7                              107                            
126                            386                            0                              0                              3                              111                            
96                             416                            0                              1                              1                              112                            
96                             416                            0                              2                              0                              112                            
96                             416                            0                              2                              0                              112                            
96                             416                            0                              1                              1                              112                            
40                             472                            0                              0                              1                              113                            
30                             482                            0                              0                              0                              114                            
171                            341                            0                              0                              5                              114                            
171                            341                            0                              1                              4                              114                            
161                            351                            0                              1                              3                              115                            
130                            382                            0                              1                              2                              116                            
76                             436                            0                              0                              2                              117                            
427                            85                             1                              1                              9                              118                            
427                            85                             1                              1                              9                              118                            
427                            85                             1                              2                              8                              118                            
427                            85                             1                              0                              10                             118                            
427                            85                             1                              2                              8                              118                            
427                            85                             1                              1                              9                              118                            
427                            85                             1                              0                              10                             118                            
501                            11                             0                              1                              12                             120                            
501                            11                             0                              0                              13                             120                            
501                            11                             0                              2                              11                             120                            
508                            4                              1                              0                              13                             121                            
508                            4                              1                              1                              12                             121                            
488                            24                             0                              0                              14                             123                            
478                            34                             0                              1                              12                             124                            
373                            139                            0                              0                              12                             125                            
320                            192                            1                              1                              13                             126                            
320                            192                            1                              1                              13                             126                            
298                            214                            0                              0                              14                             127                            
298                            214                            0                              2                              12                             127                            
298                            214                            0                              0                              14                             127                            
285                            227                            0                              0                              13                             128                            
378                            134                            1                              1                              13                             130                            
378                            134                            1                              2                              12                             130                            
378                            134                            1                              2                              12                             131                            
379                            133                            1                              1                              13                             132                            
379                            133                            1                              1                              13                             133                            
470                            42                             1                              2                              12                             134                            
414                            98                             1                              0                              14                             136                            
414                            98                             1                              0                              14                             136                            
397                            115                            1                              1                              13                             137                            
383                            129                            1                              2                              12                             138                            
383                            129                            1                              1                              13                             138                            
397                            115                            1                              2                              12                             140                            
400                            112                            1                              0                              14                             141                            
400                            112                            1                              0                              14                             141                            
482                            30                             1                              1                              13                             143                            
482                            30                             1                              1                              13                             143                            
480                            32                             1                              0                              14                             144                            
473                            39                             0                              0                              14                             145                            
473                            39                             0                              0                              14                             145                            
473                            39                             0                              2                              12                             145                            
434                            78                             1                              1                              13                             147                            
434                            78                             1                              1                              13                             147                            
434                            78                             1                              0                              14                             147                            
434                            78                             1                              2                              12                             147                            
416                            96                             1                              1                              13                             148                            
420                            92                             1                              1                              13                             149                            
420                            92                             1                              1                              13                             149                            
431                            81                             1                              0                              14                             150                            
431                            81                             1                              1                              13                             151                            
431                            81                             1                              2                              12                             151                            
448                            64                             1                              0                              14                             152                            
431                            81                             0                              0                              14                             153                            
431                            81                             0                              0                              14                             153                            
431                            81                             0                              0                              14                             153                            
237                            275                            0                              0                              10                             157                            
511                            1                              1                              0                              12                             158                            
405                            107                            0                              0                              13                             160                            
405                            107                            0                              0                              13                             161                            
405                            107                            0                              1                              12                             161                            
413                            99                             1                              0                              14                             162                            
413                            99                             1                              1                              13                             162                            
413                            99                             1                              1                              13                             162                            
413                            99                             1                              1                              13                             162                            
429                            83                             1                              0                              14                             163                            
434                            78                             0                              1                              13                             164                            
404                            108                            0                              0                              13                             165                            
374                            138                            1                              3                              9                              166                            
509                            3                              1                              0                              12                             167                            
484                            28                             0                              1                              12                             170                            
484                            28                             0                              0                              13                             170                            
484                            28                             0                              0                              13                             170                            
441                            71                             0                              0                              11                             172                            
441                            71                             0                              0                              11                             172                            
441                            71                             0                              1                              10                             172                            
396                            116                            0                              2                              7                              174                            
490                            22                             1                              1                              9                              177                            
490                            22                             1                              0                              10                             177                            
488                            24                             1                              1                              9                              178                            
488                            24                             1                              1                              9                              178                            
488                            24                             1                              1                              9                              178                            
488                            24                             1                              2                              8                              178                            
488                            24                             1                              1                              9                              178                            
474                            38                             1                              1                              8                              180                            
497                            15                             1                              0                              9                              181                            
497                            15                             1                              0                              9                              181                            
468                            44                             1                              1                              8                              182                            
468                            44                             1                              0                              9                              182                            
468                            44                             1                              0                              9                              182                            
438                            74                             1                              0                              8                              183                            
506                            6                              1                              0                              13                             184                            
506                            6                              1                              0                              13                             184                            
506                            6                              1                              2                              11                             184                            
506                            6                              1                              0                              13                             184                            
506                            6                              1                              0                              13                             184                            
506                            6                              1                              0                              13                             184                            
506                            6                              1                              2                              11                             184                            
506                            6                              1                              2                              11                             184                            
489                            23                             1                              1                              10                             186                            
486                            26                             0                              2                              8                              188                            
441                            71                             0                              2                              7                              189                            
441                            71                             0                              1                              8                              189                            
336                            176                            0                              0                              8                              190                            
336                            176                            0                              1                              7                              190                            
306                            206                            0                              0                              7                              191                            
306                            206                            0                              1                              6                              191                            
502                            10                             1                              0                              11                             192                            
502                            10                             1                              0                              11                             192                            
505                            7                              1                              0                              12                             193                            
505                            7                              1                              1                              11                             193                            
505                            7                              1                              1                              11                             193                            
505                            7                              1                              0                              12                             194                            
489                            23                             1                              0                              14                             196                            
489                            23                             1                              1                              13                             196                            
489                            23                             1                              1                              13                             196                            
484                            28                             1                              0                              13                             197                            
440                            72                             1                              0                              14                             198                            
427                            85                             0                              1                              13                             199                            
417                            95                             0                              0                              13                             200                            
417                            95                             0                              0                              13                             200                            
417                            95                             0                              1                              12                             200                            
403                            109                            0                              0                              12                             201                            
403                            109                            0                              0                              12                             201                            
510                            2                              1                              1                              11                             202                            
510                            2                              1                              0                              12                             202                            
508                            4                              1                              0                              12                             203                            
505                            7                              1                              0                              13                             205                            
505                            7                              1                              2                              11                             205                            
511                            1                              1                              0                              14                             206                            
486                            26                             1                              1                              13                             207                            
486                            26                             1                              0                              14                             207                            
481                            31                             1                              1                              12                             208                            
481                            31                             1                              1                              12                             208                            
502                            10                             1                              0                              13                             210                            
